CaseID,B3,ND2,B7_b,GH1,ppeducat,ppethm,weight_pop
203,0,3,2,2,3,1,16705.3888
204,1,3,2,1,3,1,26726.6534
205,1,3,2,1,4,1,23922.6348
206,0,2,1,2,3,1,13992.7265
207,0,4,1,1,4,1,28220.6405
208,0,3,1,1,4,1,16899.5227
209,1,2,2,2,2,1,16860.3265
210,0,3,1,1,3,1,13294.827
211,1,3,2,1,4,1,15321.6202
212,1,3,2,3,2,1,18596.2755
213,1,3,2,1,3,1,18880.3487
214,1,3,2,1,2,1,17668.7699
215,1,2,2,1,4,1,22146.0361
216,0,2,2,2,4,1,8930.844499999999
217,1,3,2,2,4,1,22146.0361
218,1,3,2,1,2,1,22608.5599
219,1,3,2,1,4,1,23429.6804
220,1,2,3,1,2,1,18746.3744
221,0,4,1,1,4,1,10151.1496
222,1,1,1,3,2,1,21306.2659
223,0,3,1,3,1,2,30385.991
224,1,3,2,1,2,1,27029.3891
225,0,2,2,1,4,1,15092.0511
226,0,3,2,2,3,1,16705.3888
227,0,3,1,1,2,1,22608.5599
228,1,2,2,1,4,1,20481.7834
229,1,5,2,1,3,1,12225.0555
230,1,3,1,2,2,1,27029.3891
231,0,3,1,1,4,1,14052.8508
232,1,2,2,3,2,1,19240.2467
233,0,3,2,2,4,3,19158.899
234,1,1,3,1,4,1,21793.3678
235,1,3,2,1,2,1,19832.965
236,0,3,1,4,1,1,19035.0953
237,1,3,1,2,4,1,15644.4908
238,1,3,1,1,3,1,15529.7006
239,0,3,2,2,3,1,19612.475
240,1,3,2,2,4,1,13289.8954
241,0,3,2,2,4,1,11523.7731
242,0,2,1,3,2,1,28968.0356
243,1,2,2,2,4,5,6372.5699
244,1,3,2,2,4,1,8930.4961
245,1,3,2,2,2,1,20051.2529
246,0,3,2,3,3,1,35768.9177
247,1,3,2,3,1,1,29418.298
248,1,3,2,3,1,1,29175.7723
249,1,3,1,1,3,1,13577.5963
250,1,2,3,1,3,1,20617.8134
251,1,3,3,2,3,1,23413.66
252,0,3,1,1,3,1,23677.5774
253,1,2,2,3,3,2,22120.083
254,1,3,1,3,2,2,33835.2764
255,0,3,2,1,3,1,19475.5771
256,1,3,2,2,4,1,27746.4885
257,1,3,1,4,3,1,25296.5197
258,1,2,2,3,4,1,9626.1235
259,1,3,2,3,3,4,21736.5157
260,1,3,2,1,3,2,18558.9973
261,0,3,1,2,2,1,28104.2223
262,0,3,1,1,4,5,6995.186
263,0,3,3,2,2,1,31748.7865
264,0,3,1,2,2,1,20250.2455
265,1,3,2,1,4,3,37592.4328
266,0,3,2,2,3,1,15529.7006
267,1,3,2,2,2,1,18657.6784
268,1,3,1,1,1,1,27512.6404
269,0,3,1,2,3,1,11325.2852
270,1,3,2,2,3,1,24781.5552
271,1,3,3,1,4,1,9019.476000000001
272,1,2,3,1,3,1,20308.8895
273,0,3,3,2,3,1,19843.1937
274,1,2,2,2,4,1,17891.5561
275,1,3,4,2,4,1,14140.9356
276,1,3,2,2,3,1,20891.7618
277,0,3,2,3,2,2,27414.2726
278,1,3,2,1,2,1,28651.2769
279,1,3,1,1,4,1,10305.5614
280,0,3,1,2,4,1,13090.7683
281,1,3,3,4,4,1,10440.3513
